year,teamid,teamname,salary,score,finalscore,lgid,franchid,divid,rank,w,l,divwin,wcwin,lgwin,wswin,r,hr
2000,MIN,Minnesota Twins,16519500,0.7419354838709677,4.284869900772206,AL,MIN,C,5,69,93,N,N,N,N,748,116
2000,NYA,New York Yankees,92338260,4.675675675675675,4.077866762014101,AL,NYY,E,1,87,74,Y,N,Y,Y,871,205
2000,FLO,Florida Marlins,19872000,0.9634146341463414,3.6555822619643767,NL,FLA,E,3,79,82,N,N,N,N,731,160
2000,CHA,Chicago White Sox,31133500,2.4179104477611943,3.5937019617252526,AL,CHW,C,1,95,67,Y,N,N,N,978,216
2000,OAK,Oakland Athletics,31971333,2.3,3.4056703703908746,AL,OAK,W,1,91,70,Y,N,N,N,947,239
2000,NYN,New York Mets,79509776,3.682352941176471,3.2301078122252838,NL,NYM,E,2,94,68,N,Y,Y,N,807,198
2000,KCA,Kansas City Royals,23433000,0.9058823529411765,2.9609864838676474,AL,KCR,C,4,77,85,N,N,N,N,879,150
2000,SFN,San Francisco Giants,53737826,2.4923076923076923,2.542551929951396,NL,SFG,W,1,97,65,Y,N,N,N,925,226
2000,SLN,St. Louis Cardinals,61453863,2.4179104477611943,2.2735087947682815,NL,STL,C,1,95,67,Y,N,N,N,887,235
2000,PIT,Pittsburgh Pirates,28928334,0.7419354838709677,2.12169880173089,NL,PIT,C,5,69,93,N,N,N,N,793,168
2000,SEA,Seattle Mariners,58915000,2.0816901408450708,1.9957061826001417,AL,SEA,W,2,91,71,N,Y,N,N,907,198
2000,ATL,Atlanta Braves,84537836,2.4179104477611943,1.9033479635736408,NL,ATL,E,1,95,67,Y,N,N,N,810,179
2000,MON,Montreal Expos,32994333,0.7052631578947368,1.7301438730163308,NL,WSN,E,4,67,95,N,N,N,N,738,178
2000,MIL,Milwaukee Brewers,36505333,0.8202247191011236,1.602268142729118,NL,MIL,C,3,73,89,N,N,N,N,740,177
2000,TOR,Toronto Blue Jays,44838332,1.0506329113924051,1.408568998310179,AL,TOR,E,3,83,79,N,N,N,N,861,244
2000,CIN,Cincinnati Reds,46867200,1.103896103896104,1.3814026564531159,NL,CIN,C,2,85,77,N,N,N,N,825,200
2000,ANA,Anaheim Angels,51464167,1.025,1.1437331876954309,AL,ANA,W,3,82,80,N,N,N,N,864,236
2000,PHI,Philadelphia Phillies,47308000,0.6701030927835051,0.9310474383487373,NL,PHI,E,5,65,97,N,N,N,N,708,144
2000,HOU,Houston Astros,51289111,0.8,0.924258121767796,NL,HOU,C,4,72,90,N,N,N,N,938,249
2000,SDN,San Diego Padres,54821000,0.8837209302325582,0.9033348573772655,NL,SDP,W,5,76,86,N,N,N,N,752,157
2000,COL,Colorado Rockies,61111190,1.025,0.8881996873240399,NL,COL,W,4,82,80,N,N,N,N,968,161
2000,DET,Detroit Tigers,58265167,0.9518072289156626,0.8815938302309906,AL,DET,C,3,79,83,N,N,N,N,823,177
2000,CLE,Cleveland Indians,75880771,1.25,0.8478638461646628,AL,CLE,C,2,90,72,N,N,N,N,950,221
2000,BOS,Boston Red Sox,77940333,1.103896103896104,0.6727490570904404,AL,BOS,E,2,85,77,N,N,N,N,792,167
2000,ARI,Arizona Diamondbacks,81027833,1.103896103896104,0.6320212803401044,NL,ARI,W,3,85,77,N,N,N,N,792,179
2000,LAN,Los Angeles Dodgers,87924286,1.131578947368421,0.579061820302982,NL,LAD,W,2,86,76,N,N,N,N,798,211
2000,TBA,Tampa Bay Devil Rays,62765129,0.75,0.5772776847156643,AL,TBD,E,5,69,92,N,N,N,N,733,162
2000,CHN,Chicago Cubs,60539333,0.6701030927835051,0.546179619758125,NL,CHC,C,6,65,97,N,N,N,N,764,183
2000,TEX,Texas Rangers,70795921,0.7802197802197802,0.45693665773592984,AL,TEX,W,4,71,91,N,N,N,N,848,173
2000,BAL,Baltimore Orioles,81447435,0.8409090909090909,0.36373755812847,AL,BAL,E,4,74,88,N,N,N,N,794,184
2001,ARI,Arizona Diamondbacks,85082999,4.814285714285714,4.4664919928866835,NL,ARI,W,1,92,70,Y,N,Y,Y,818,208
2001,OAK,Oakland Athletics,33810750,2.5,3.899467348402505,AL,OAK,W,2,102,60,N,Y,N,N,884,199
2001,MIN,Minnesota Twins,24130000,1.103896103896104,3.6666049994617893,AL,MIN,C,2,85,77,N,N,N,N,771,164
2001,NYA,New York Yankees,112287143,3.9615384615384617,3.334596258102045,AL,NYY,E,1,95,65,Y,N,Y,N,804,203
2001,SEA,Seattle Mariners,74720834,3.5217391304347827,3.3337315213387706,AL,SEA,W,1,116,46,Y,N,N,N,927,169
2001,HOU,Houston Astros,60612667,2.3478260869565215,2.4651970178545133,NL,HOU,C,1,93,69,Y,N,N,N,847,208
2001,FLO,Florida Marlins,35762500,0.8837209302325582,2.1249489106589827,NL,FLA,E,4,76,86,N,N,N,N,742,166
2001,MON,Montreal Expos,35159500,0.723404255319149,2.011645431957042,NL,WSN,E,5,68,94,N,N,N,N,670,131
2001,PHI,Philadelphia Phillies,41663833,1.131578947368421,1.9845349427997583,NL,PHI,E,2,86,76,N,N,N,N,746,164
2001,SDN,San Diego Padres,39182833,0.9518072289156626,1.9537489759557505,NL,SDP,W,4,79,83,N,N,N,N,789,161
2001,KCA,Kansas City Royals,35422500,0.6701030927835051,1.9376425281706178,AL,KCR,C,5,65,97,N,N,N,N,729,152
2001,SLN,St. Louis Cardinals,78538333,2.1478260869565218,1.896046693446858,NL,STL,C,2,93,69,N,Y,N,N,814,199
2001,CLE,Cleveland Indians,93152001,2.2816901408450705,1.8340901386722777,AL,CLE,C,1,91,71,Y,N,N,N,897,212
2001,ATL,Atlanta Braves,91936166,2.1891891891891895,1.7555069389417732,NL,ATL,E,1,88,74,Y,N,N,N,729,174
2001,MIL,Milwaukee Brewers,43886833,0.723404255319149,1.4571759574148548,NL,MIL,C,4,68,94,N,N,N,N,740,209
2001,ANA,Anaheim Angels,47535167,0.8620689655172413,1.4243982227174947,AL,ANA,W,3,75,87,N,N,N,N,691,158
2001,SFN,San Francisco Giants,63280167,1.25,1.2991925874658328,NL,SFG,W,2,90,72,N,N,N,N,799,235
2001,CHN,Chicago Cubs,64715833,1.1891891891891893,1.2040142498509288,NL,CHC,C,3,88,74,N,N,N,N,777,194
2001,CIN,Cincinnati Reds,48986000,0.6875,1.1887486353243784,NL,CIN,C,5,66,96,N,N,N,N,735,176
2001,CHA,Chicago White Sox,65653667,1.0506329113924051,1.0438193567131213,AL,CHW,C,3,83,79,N,N,N,N,798,214
2001,DET,Detroit Tigers,53416167,0.6875,1.0227714385141113,AL,DET,C,4,66,96,N,N,N,N,724,139
2001,TBA,Tampa Bay Devil Rays,56980000,0.62,0.8404837776412777,AL,TBD,E,5,62,100,N,N,N,N,672,121
2001,PIT,Pittsburgh Pirates,57760833,0.62,0.8172256208631893,NL,PIT,C,6,62,100,N,N,N,N,657,161
2001,TOR,Toronto Blue Jays,76895999,0.975609756097561,0.7504896838555708,AL,TOR,E,3,80,82,N,N,N,N,767,195
2001,COL,Colorado Rockies,71541334,0.8202247191011236,0.6905257768085462,NL,COL,W,5,73,89,N,N,N,N,923,213
2001,BAL,Baltimore Orioles,67599540,0.6428571428571429,0.593061769249571,AL,BAL,E,4,63,98,N,N,N,N,687,136
2001,NYN,New York Mets,93174428,1.025,0.5771466861057628,NL,NYM,E,3,82,80,N,N,N,N,642,147
2001,LAN,Los Angeles Dodgers,109105953,1.131578947368421,0.5300923919098018,NL,LAD,W,3,86,76,N,N,N,N,758,206
2001,BOS,Boston Red Sox,110035833,1.0379746835443038,0.4288950590005427,AL,BOS,E,2,82,79,N,N,N,N,772,198
2001,TEX,Texas Rangers,88633500,0.8202247191011236,0.4262756552595738,AL,TEX,W,4,73,89,N,N,N,N,890,246
2002,ANA,Anaheim Angels,61721667,4.871428571428572,5.0111100806788,AL,ANA,W,2,99,63,N,Y,Y,Y,851,152
2002,OAK,Oakland Athletics,40004167,2.7457627118644066,3.7755960689744295,AL,OAK,W,1,103,59,Y,N,N,N,800,205
2002,SFN,San Francisco Giants,78299835,3.7393939393939393,3.5319110449536124,NL,SFG,W,2,95,66,N,Y,Y,N,783,198
2002,MIN,Minnesota Twins,40425000,2.4029850746268657,3.4064823189063955,AL,MIN,C,1,94,67,Y,N,N,N,768,167
2002,SLN,St. Louis Cardinals,74660875,2.4923076923076923,2.347821890339794,NL,STL,C,1,97,65,Y,N,N,N,787,175
2002,ATL,Atlanta Braves,92870367,2.711864406779661,2.3015971102156234,NL,ATL,E,1,101,59,Y,N,N,N,708,164
2002,MON,Montreal Expos,38670500,1.0506329113924051,2.1677150825564704,NL,WSN,E,2,83,79,N,N,N,N,735,162
2002,NYA,New York Yankees,125928583,2.7758620689655173,2.0795229511021804,AL,NYY,E,1,103,58,Y,N,N,N,897,223
2002,ARI,Arizona Diamondbacks,102819999,2.53125,2.015532017936997,NL,ARI,W,1,98,64,Y,N,N,N,819,165
2002,TBA,Tampa Bay Devil Rays,34380000,0.5188679245283019,1.96255251149747,AL,TBD,E,5,55,106,N,N,N,N,673,133
