Name,Year,Age,From Team,WAR3,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Pos
Mike Stanley,2000,38,OAK,4.4,1467,4989,4222,625,1138,220,7,187,702,13,4,652,929,0.27,0.37,0.458,0.827,C-DH-1B
Walt Weiss,2000,37,ATL,3.8,1495,5516,4686,623,1207,182,31,25,386,96,35,658,658,0.258,0.351,0.326,0.677,SS
Kevin Stocker,2000,31,ANA,2.5,846,3197,2773,340,703,124,28,23,248,45,28,313,541,0.254,0.338,0.343,0.682,SS
Rich Becker,2000,29,DET,1.8,789,2624,2227,345,570,100,12,45,243,66,26,350,616,0.256,0.358,0.372,0.731,OF
Willie Greene,2000,29,CHC,1.8,655,2183,1902,254,446,76,12,86,307,17,6,260,477,0.234,0.326,0.423,0.749,3B-OF-DH
Mark Whiten,2000,34,CLE,1.6,939,3523,3104,465,804,129,20,105,423,78,40,378,712,0.259,0.341,0.415,0.756,OF
Aaron Ledesma,2000,30,COL,1.5,284,813,754,94,223,38,4,2,76,11,8,44,111,0.296,0.338,0.365,0.703,SS-3B-2B
Luis Polonia,2000,37,NYY,1.3,1379,5296,4840,728,1417,189,70,36,405,321,145,369,543,0.293,0.342,0.383,0.726,OF-DH
Hal Morris,2000,36,DET,1.1,1246,4443,3998,535,1216,246,21,76,513,45,24,356,548,0.304,0.361,0.433,0.794,1B-OF-DH
Kevin Elster,2000,36,LAD,0.8,940,3225,2844,332,648,136,12,88,376,14,11,295,562,0.228,0.3,0.377,0.677,SS
Rich Amaral,2000,39,ATL,0.7,727,2022,1788,305,493,82,10,11,159,112,39,176,277,0.276,0.344,0.351,0.695,OF-2B-DH-3B-1B-SS
Gregg Jefferies,2000,33,DET,0.3,1465,6072,5520,761,1593,300,27,126,663,196,63,472,348,0.289,0.344,0.421,0.765,1B-OF-2B-3B-DH
Jeff Manto,2000,36,CLE,0.3,289,822,713,97,164,35,2,31,97,3,6,97,182,0.23,0.329,0.415,0.744,3B-1B
Hector Ramirez,2000,29,HOU,0.3,21,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,
Marcus Jensen,2000,28,MIN,0.2,117,328,279,31,54,15,1,5,23,0,1,46,85,0.194,0.308,0.308,0.616,C
Lenny Webster,2000,36,MON,0.2,587,1617,1450,157,368,73,2,33,176,1,3,140,209,0.254,0.324,0.375,0.699,C
Jim Leyritz,2000,37,LAD,0,903,2962,2527,325,667,107,2,90,387,7,7,337,581,0.264,0.362,0.415,0.777,C-DH-1B-3B-OF
Tim Unroe,2000,30,ATL,0,79,108,95,13,21,3,0,3,11,2,1,11,32,0.221,0.308,0.347,0.656,1B
Tarrik Brock,2000,27,CHC,-0.1,13,16,12,1,2,0,0,0,0,1,1,4,4,0.167,0.375,0.167,0.542,
Ivan Cruz,2000,33,PIT,-0.1,24,43,41,3,10,1,0,1,5,0,0,2,14,0.244,0.279,0.341,0.621,
Matt Mieske,2000,33,ARI,-0.1,663,1705,1547,225,406,78,10,56,226,7,16,124,313,0.262,0.318,0.434,0.753,OF
Brian Smith,2000,28,PIT,-0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
George Williams,2000,32,SDP,-0.1,172,518,428,62,104,19,2,10,48,0,1,74,103,0.243,0.362,0.367,0.729,C
Tripp Cromer,2000,33,HOU,-0.2,193,561,520,54,117,22,0,12,47,0,1,27,101,0.225,0.266,0.337,0.602,SS-2B
Carlos Hernandez,2000,25,SEA,-0.2,18,16,15,4,2,0,0,0,1,3,2,0,1,0.133,0.133,0.133,0.267,
Alan Newman,2000,31,CLE,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Matt Williams,2000,30,NYY,-0.2,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Eddie Zosky,2000,33,HOU,-0.2,44,53,50,4,8,1,2,0,3,0,0,1,13,0.16,0.173,0.26,0.433,SS
Jeff Huson,2000,36,CHC,-0.3,827,2127,1879,242,439,65,13,8,150,64,21,191,228,0.234,0.304,0.295,0.599,SS-2B-3B-1B
Felix Jose,2000,36,NYY,-0.3,716,2707,2490,316,697,134,14,51,314,102,57,193,496,0.28,0.332,0.406,0.739,OF
Scott McClain,2000,29,COL,-0.3,9,23,20,2,2,0,0,0,0,0,0,2,6,0.1,0.217,0.1,0.317,
Sean Berry,2000,35,CLE,-0.4,860,2692,2413,310,657,153,10,81,369,47,24,206,438,0.272,0.334,0.445,0.779,3B-1B
Carlos Mendoza,2000,26,COL,-0.4,28,29,22,6,4,0,0,0,1,0,1,5,6,0.182,0.379,0.182,0.561,
Danny Young,2000,29,CHC,-0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Chris Pritchett,2000,31,PHI,-0.5,61,158,149,16,33,3,1,3,11,3,1,7,31,0.221,0.255,0.315,0.57,1B
Chris Sexton,2000,29,CIN,-0.5,70,188,159,18,35,4,1,1,17,8,4,24,22,0.22,0.328,0.277,0.605,
Joe Vitiello,2000,31,SDP,-0.5,244,705,617,64,146,29,1,23,91,2,0,73,151,0.237,0.326,0.399,0.725,DH-1B-OF
Chris Jones,2000,35,MIL,-0.6,548,1119,1021,155,257,43,11,30,131,26,10,74,287,0.252,0.303,0.404,0.707,OF
John Roskos,2000,26,SDP,-0.6,37,53,49,1,4,3,0,0,2,0,0,4,19,0.082,0.151,0.143,0.294,
Geronimo Berroa,2000,36,LAD,-0.8,779,2825,2506,379,692,113,9,101,382,19,16,276,510,0.276,0.349,0.449,0.798,DH-OF
Quilvio Veras,2001,31,BOS,5.5,767,3293,2780,469,750,129,15,32,239,183,83,427,462,0.27,0.372,0.362,0.734,2B
