playerID,name,year,team
stanlmi02,Mike Stanley,2000,OAK
weisswa01,Walt Weiss,2000,ATL
stockke01,Kevin Stocker,2000,ANA
beckeri01,Rich Becker,2000,DET
greenwi01,Willie Greene,2000,CHC
whitema01,Mark Whiten,2000,CLE
ledesaa01,Aaron Ledesma,2000,COL
polonlu01,Luis Polonia,2000,NYY
morriha02,Hal Morris,2000,DET
elsteke01,Kevin Elster,2000,LAD
amarari01,Rich Amaral,2000,ATL
jeffegr01,Gregg Jefferies,2000,DET
mantoje01,Jeff Manto,2000,CLE
ramirhe01,Hector Ramirez,2000,HOU
jensema01,Marcus Jensen,2000,MIN
webstle01,Lenny Webster,2000,MON
leyriji01,Jim Leyritz,2000,LAD
unroeti01,Tim Unroe,2000,ATL
brockta01,Tarrik Brock,2000,CHC
cruziv01,Ivan Cruz,2000,PIT
mieskma01,Matt Mieske,2000,ARI
smithbr03,Brian Smith,2000,PIT
willige01,George Williams,2000,SDP
crometr01,Tripp Cromer,2000,HOU
hernaca01,Carlos Hernandez,2000,SEA
newmaal02,Alan Newman,2000,CLE
willima03,Matt Williams,2000,NYY
zoskyed01,Eddie Zosky,2000,HOU
husonje01,Jeff Huson,2000,CHC
josefe01,Felix Jose,2000,NYY
mcclasc01,Scott McClain,2000,COL
berryse01,Sean Berry,2000,CLE
mendoca01,Carlos Mendoza,2000,COL
youngda01,Danny Young,2000,CHC
pritcch01,Chris Pritchett,2000,PHI
sextoch01,Chris Sexton,2000,CIN
vitiejo01,Joe Vitiello,2000,SDP
jonesch04,Chris Jones,2000,MIL
roskojo01,John Roskos,2000,SDP
berroge01,Geronimo Berroa,2000,LAD
verasqu01,Quilvio Veras,2001,BOS
oneilpa01,Paul O'Neill,2001,NYY
ripkeca01,Cal Ripken Jr.,2001,BAL
fernato01,Tony Fernandez,2001,TOR
brosisc01,Scott Brosius,2001,NYY
buhneja01,Jay Buhner,2001,SEA
javiest01,Stan Javier,2001,SEA
gwynnto01,Tony Gwynn,2001,SDP
caminke01,Ken Caminiti,2001,ATL
curtich01,Chad Curtis,2001,TEX
whitede03,Devon White,2001,MIL
eusebto01,Tony Eusebio,2001,HOU
baineha01,Harold Baines,2001,CHW
daviser01,Eric Davis,2001,SFG
duceyro01,Rob Ducey,2001,MON
magadda01,Dave Magadan,2001,SDP
cromedt01,D.T. Cromer,2001,CIN
sheldsc01,Scott Sheldon,2001,TEX
olivejo01,Joe Oliver,2001,BOS
wardtu01,Turner Ward,2001,PHI
seelbch02,Chris Seelbach,2001,ATL
stronjo01,Joe Strong,2001,FLA
gilkebe01,Bernard Gilkey,2001,ATL
knotter01,Eric Knott,2001,ARI
joneste02,Terry Jones,2001,MON
bicheda01,Dante Bichette,2001,BOS
hinchbr01,Brett Hinchliffe,2001,NYM
lewisma01,Mark Lewis,2001,CLE
seguife01,Fernando Seguignol,2001,MON
johnsbr01,Brian Johnson,2001,LAD
wehnejo01,John Wehner,2001,PIT
bonilbo01,Bobby Bonilla,2001,STL
lankfra01,Ray Lankford,2002,SDP
henderi01,Rickey Henderson,2002,BOS
raineti01,Tim Raines,2002,FLA
newhada01,David Newhan,2002,LAD
nelsobr01,Bry Nelson,2002,BOS
pridecu01,Curtis Pride,2002,PIT
maureda01,Dave Maurer,2002,CLE
carusmi01,Mike Caruso,2002,KCR
ariasal01,Alex Arias,2002,NYY
nomurta01,Takahito Nomura,2002,MIL
richach01,Chris Richard,2003,COL
riverru01,Ruben Rivera,2003,BAL
francma01,Matt Franco,2003,ATL
martial01,Al Martin,2003,TBD
galaran01,Andres Galarraga,2003,SFG
ohmeke01,Kevin Ohme,2003,STL
romerma01,Mandy Romero,2003,COL
meyerch02,Chad Meyers,2003,SEA
johnsro06,Rontrez Johnson,2003,ATL
pridecu01,Curtis Pride,2003,NYY
santoan01,Angel Santos,2003,CLE
burkhmo01,Morgan Burkhart,2003,KCR
barnela01,Larry Barnes,2003,LAD
mosquju01,Julio Mosquera,2003,SEA
olerujo01,John Olerud,2004,NYY
martied01,Edgar Martinez,2004,SEA
venturo01,Robin Ventura,2004,LAD
burksel01,Ellis Burks,2004,BOS
fullmbr01,Brad Fullmer,2004,TEX
batisto01,Tony Batista,2004,WSN
perryhe01,Herbert Perry,2004,TEX
larkiba01,Barry Larkin,2004,CIN
kaplega01,Gabe Kapler,2004,BOS
vandejo02,John Vander Wal,2004,CIN
spencsh01,Shane Spencer,2004,NYY
estalbo01,Bobby Estalella,2004,TOR
goodwto01,Tom Goodwin,2004,CHC
zeileto01,Todd Zeile,2004,NYM
braggda01,Darren Bragg,2004,CIN
mclemma01,Mark McLemore,2004,OAK
seguida01,David Segui,2004,BAL
shielja01,Jason Shiell,2004,BOS
kroonma01,Marc Kroon,2004,COL
lankfra01,Ray Lankford,2004,STL
urdanli01,Lino Urdaneta,2004,DET
dranske01,Kelly Dransfeldt,2004,CHW
wittke01,Kevin Witt,2004,STL
collilo01,Lou Collier,2004,PHI
suttola01,Larry Sutton,2004,FLA
lopezlu01,Luis Lopez,2004,ATL
maynebr01,Brent Mayne,2004,LAD
maureda01,Dave Maurer,2004,TOR
hermach01,Chad Hermansen,2004,TOR
fordybr01,Brook Fordyce,2004,TBD
hernaad01,Adrian Hernandez,2004,MIL
mordemi01,Mike Mordecai,2004,FLA
delarto01,Tomas de la Rosa,2004,PIT
pettyad01,Adam Pettyjohn,2004,OAK
walkela01,Larry Walker,2005,STL
martiti02,Tino Martinez,2005,NYY
palmera01,Rafael Palmeiro,2005,BAL
olerujo01,John Olerud,2005,BOS
sosasa01,Sammy Sosa,2005,BAL
higgibo02,Bobby Higginson,2005,DET
surhobj01,B.J. Surhoff,2005,BAL
sanchre01,Rey Sanchez,2005,NYY
shortri01,Rick Short,2005,WSN
magruch01,Chris Magruder,2005,MIL
baergca01,Carlos Baerga,2005,WSN
chench01,Chin-Feng Chen,2005,LAD
mosquju01,Julio Mosquera,2005,MIL
myrowbr01,Brian Myrow,2005,LAD
