,Name,Year,Age,From Team,WAR3,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
115,John Wetteland,2000,34,TEX,5,48,45,0.516,2.93,618,17,523,0,0,330,765,616,287,249,73,252,30,804,16,1,40,3145
116,Doug Jones,2000,44,OAK,4,69,79,0.466,3.3,846,4,640,0,0,303,1128.1,1155,465,414,86,247,53,909,39,6,18,4754
117,Rick Aguilera,2000,39,CHC,3.8,86,81,0.515,3.57,732,89,557,10,0,318,1291.1,1233,568,512,138,351,42,1030,36,10,53,5391
118,Darren Holmes,2000,35,ARI,0.5,32,29,0.525,4.47,454,6,190,0,0,58,583.1,621,314,290,55,233,32,488,13,4,25,2572
119,Jim Bruske,2000,36,MIL,0.3,9,1,0.9,4.13,105,1,26,0,0,2,144,154,77,66,16,68,6,95,8,0,9,646
120,Hector Ramirez,2000,29,HOU,0.3,1,3,0.25,5.4,21,0,6,0,0,0,30,30,18,18,2,16,2,13,0,1,0,131
121,Rich Sauveur,2000,37,OAK,0.1,0,1,0,6.07,34,3,6,0,0,0,46,58,31,31,10,24,1,28,5,3,0,213
122,Lance Carter,2000,26,KCR,0,0,1,0,5.06,6,0,3,0,0,0,5.1,3,3,3,2,3,0,3,0,0,0,21
123,Brian Smith,2000,28,PIT,-0.1,0,0,,10.38,3,0,1,0,0,0,4.1,6,5,5,1,2,0,3,0,0,0,20
124,Greg McMichael,2000,34,ATL,-0.2,31,29,0.517,3.25,453,0,164,0,0,53,523.1,483,215,189,42,193,48,459,9,4,32,2213
125,Alan Newman,2000,31,CLE,-0.2,2,2,0.5,7.94,19,0,6,0,0,0,17,28,15,15,3,10,0,20,1,1,2,86
126,Dave Stevens,2000,31,ATL,-0.2,15,16,0.484,6.02,183,6,93,0,0,21,251,298,174,168,49,132,11,170,4,4,9,1163
127,Matt Williams,2000,30,NYY,-0.2,0,0,,7,11,0,1,0,0,0,9,7,7,7,2,13,0,7,1,0,0,46
128,Vicente Palacios,2000,37,CHC,-0.3,17,20,0.459,4.43,134,44,26,2,2,7,372,348,190,183,44,158,9,270,7,7,22,1576
129,Steve Rain,2000,26,CHC,-0.3,3,5,0.375,5.46,53,0,11,0,0,0,64.1,74,42,39,11,34,0,66,2,0,5,293
